Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egz.
Jonas          Lukaitis       10        10        2         8         2         2
Valdas         Virgaitis      4         10        8         4         2         9
Romas          Tomaitis       5         5         8         8         9         5
Lukas          Romaitis       8         4         1         6         10        3
Jonas          Lukaitis       1         5         9         5         8         10
Petras         Lukaitis       9         5         6         2         7         1
Jonas          Petraitis      10        1         2         5         4         7
Jonas          Petraitis      2         2         5         9         1         2
Antanas        Antanaitis     3         10        1         7         10        3
Mantas         Lukaitis       4         3         10        10        4         9
Tomas          Petraitis      1         4         3         3         1         9
Antanas        Mantaitis      5         9         2         9         4         5
Romas          Romaitis       9         4         4         2         1         4
Antanas        Mataitis       7         2         8         2         1         7
Romas          Antanaitis     2         10        2         7         5         6
Jonas          Lukaitis       4         8         1         8         6         3
Kazys          Tomaitis       4         4         10        4         5         1
Petras         Petraitis      4         6         8         8         7         9
Petras         Jonaitis       4         6         9         5         8         8
Tomas          Virgaitis      9         1         10        1         7         8
Jonas          Romaitis       4         9         2         6         8         4
Virgis         Petraitis      9         7         6         7         7         9
Mantas         Mataitis       10        2         10        2         4         5
Kazys          Valdaitis      1         8         8         10        9         2
Jonas          Romaitis       8         9         2         9         10        9
Virgis         Jonaitis       7         5         2         3         6         7
Jonas          Romaitis       3         6         3         7         7         2
Jonas          Antanaitis     10        5         7         1         7         1
Mantas         Virgaitis      5         5         9         4         9         2
Virgis         Jonaitis       2         9         6         5         9         9
Lukas          Antanaitis     1         6         3         3         2         9
Tomas          Lukaitis       9         3         7         3         1         6
Kazys          Tomaitis       2         7         4         2         10        5
Jonas          Mataitis       10        3         5         1         1         8
Valdas         Kazaitis       10        7         5         3         10        3
Tomas          Virgaitis      3         8         4         10        1         6
Kazys          Virgaitis      5         6         2         9         10        7
Jonas          Lukaitis       10        2         4         6         6         6
Virgis         Lukaitis       4         1         2         10        2         9
Jonas          Jonaitis       7         4         6         6         5         7
Petras         Mataitis       5         10        6         3         4         6
Jonas          Romaitis       4         6         2         6         6         5
Virgis         Mataitis       8         5         4         4         7         4
Valdas         Valdaitis      1         4         7         5         2         6
Kazys          Petraitis      10        8         9         4         6         9
Kazys          Jonaitis       6         7         2         5         1         6
Lukas          Lukaitis       6         6         1         4         9         4
Matas          Jonaitis       8         10        9         5         8         1
Matas          Petraitis      2         8         7         3         6         9
Jonas          Mataitis       7         3         8         4         5         2
Matas          Lukaitis       2         3         10        10        6         2
Mantas         Virgaitis      3         1         7         10        6         4
Tomas          Romaitis       2         10        4         4         6         7
Lukas          Lukaitis       7         3         10        1         7         9
Tomas          Antanaitis     7         2         4         4         10        8
Mantas         Mantaitis      1         3         9         3         7         6
Virgis         Romaitis       2         4         5         10        3         8
Mantas         Romaitis       4         2         7         5         3         2
Mantas         Jonaitis       6         10        4         5         1         10
Matas          Romaitis       2         8         8         8         9         1
Virgis         Kazaitis       1         7         4         6         4         9
Antanas        Antanaitis     2         3         9         6         8         7
Valdas         Mantaitis      5         10        4         1         9         2
Jonas          Lukaitis       5         9         9         2         4         1
Tomas          Kazaitis       8         8         2         5         1         5
Romas          Antanaitis     10        8         8         2         6         8
Antanas        Romaitis       1         7         1         6         4         3
Kazys          Antanaitis     5         8         5         1         1         2
Valdas         Mataitis       7         10        8         10        6         5
Lukas          Petraitis      8         4         4         3         6         9
Petras         Jonaitis       5         6         4         8         1         5
Valdas         Mantaitis      9         3         6         2         4         7
Matas          Kazaitis       8         8         6         3         6         6
Petras         Jonaitis       6         8         1         6         7         7
Virgis         Tomaitis       6         4         1         9         9         2
Petras         Petraitis      9         2         8         9         4         1
Antanas        Romaitis       1         1         4         2         8         3
Romas          Virgaitis      4         10        7         9         4         5
Romas          Mantaitis      9         5         9         7         5         9
Valdas         Petraitis      3         8         10        4         7         1
Valdas         Romaitis       1         9         7         1         6         1
Antanas        Virgaitis      2         4         10        2         1         8
Virgis         Mantaitis      4         6         7         4         1         8
Mantas         Mantaitis      9         9         9         5         10        1
Petras         Petraitis      6         5         4         9         9         8
Valdas         Antanaitis     9         7         9         10        4         8
Mantas         Antanaitis     1         3         4         9         10        2
Matas          Valdaitis      9         5         5         10        3         2
Antanas        Jonaitis       3         4         8         8         3         7
Valdas         Jonaitis       6         8         2         10        4         4
Mantas         Jonaitis       2         3         3         9         6         6
Jonas          Valdaitis      1         1         9         6         6         1
Mantas         Lukaitis       3         10        2         7         5         7
Antanas        Valdaitis      9         5         4         10        6         5
Mantas         Romaitis       4         6         6         1         1         4
Antanas        Romaitis       7         6         7         10        1         6
Jonas          Antanaitis     2         2         5         9         6         1
Romas          Jonaitis       1         2         2         3         7         3
Petras         Valdaitis      9         8         3         8         1         9
Lukas          Antanaitis     9         3         8         2         6         9
Petras         Romaitis       1         5         8         1         1         3
Romas          Antanaitis     6         7         6         2         3         10
Lukas          Jonaitis       1         6         1         4         10        3
Kazys          Valdaitis      6         7         5         9         9         6
Mantas         Kazaitis       8         5         1         9         3         7
Antanas        Valdaitis      2         3         10        9         7         7
Mantas         Valdaitis      10        8         4         6         7         1
Romas          Kazaitis       9         1         9         1         3         10
Kazys          Romaitis       7         9         6         4         8         5
Matas          Virgaitis      3         8         4         3         10        3
Tomas          Mataitis       7         4         10        2         2         9
Tomas          Mataitis       1         8         1         8         2         4
Tomas          Virgaitis      10        9         3         2         5         4
Virgis         Valdaitis      1         10        10        9         6         10
Valdas         Romaitis       1         7         7         9         9         3
Tomas          Jonaitis       4         8         1         5         4         6
Antanas        Mantaitis      9         3         5         2         2         10
Jonas          Virgaitis      8         3         10        6         6         6
Tomas          Mataitis       3         1         10        3         8         10
Virgis         Romaitis       1         2         6         2         4         6
Tomas          Virgaitis      8         4         2         7         1         10
Romas          Jonaitis       1         6         6         2         5         3
Mantas         Kazaitis       4         9         3         3         10        8
Antanas        Valdaitis      5         8         1         5         2         6
Valdas         Antanaitis     6         1         7         6         6         7
Valdas         Valdaitis      7         7         7         10        3         9
Mantas         Virgaitis      5         10        8         7         5         2
Tomas          Jonaitis       9         10        10        4         4         6
Jonas          Jonaitis       2         5         3         2         3         10
Valdas         Petraitis      5         4         4         6         10        3
Petras         Lukaitis       8         5         5         9         4         9
Jonas          Valdaitis      3         10        10        2         4         6
Petras         Mataitis       4         6         9         9         9         2
Mantas         Antanaitis     1         7         8         4         9         3
Lukas          Tomaitis       10        10        2         7         9         3
Antanas        Petraitis      6         5         2         1         6         4
Lukas          Lukaitis       3         2         7         1         6         4
Mantas         Romaitis       4         8         10        4         10        10
Mantas         Virgaitis      9         5         1         3         6         4
Romas          Antanaitis     9         8         4         7         1         10
Petras         Mantaitis      4         10        2         6         10        10
Matas          Petraitis      2         9         8         6         5         3
Kazys          Petraitis      9         4         3         6         4         5
Valdas         Romaitis       5         9         7         9         3         7
Valdas         Antanaitis     1         6         5         9         5         2
Mantas         Kazaitis       5         5         7         7         1         4
Virgis         Mataitis       1         1         4         6         1         3
Kazys          Kazaitis       8         6         8         7         8         6
Antanas        Antanaitis     3         9         9         2         8         9
Romas          Mataitis       1         3         6         5         4         10
Matas          Lukaitis       4         7         6         2         7         5
Jonas          Tomaitis       7         4         4         9         7         10
Antanas        Kazaitis       1         3         4         10        8         8
Tomas          Lukaitis       9         10        10        8         3         6
Romas          Petraitis      2         4         4         3         3         9
Mantas         Romaitis       8         1         9         1         10        7
Mantas         Valdaitis      7         2         5         4         7         3
Jonas          Virgaitis      4         8         9         10        3         4
Lukas          Mantaitis      3         8         4         5         2         10
Valdas         Mataitis       2         6         1         3         1         1
Petras         Valdaitis      4         3         4         10        8         10
Lukas          Romaitis       5         2         10        5         4         7
Lukas          Romaitis       7         1         7         5         1         8
Valdas         Valdaitis      2         5         4         6         7         4
Valdas         Tomaitis       4         9         1         9         5         8
Antanas        Romaitis       2         6         9         4         5         2
Kazys          Mataitis       5         6         10        3         8         3
Romas          Mantaitis      9         9         5         8         1         2
Virgis         Petraitis      4         6         2         2         10        6
Virgis         Tomaitis       7         3         2         1         4         8
Virgis         Valdaitis      10        8         6         10        7         3
Jonas          Lukaitis       4         9         1         5         10        3
Petras         Antanaitis     4         2         7         10        1         10
Antanas        Romaitis       2         8         5         6         3         5
Mantas         Virgaitis      7         6         10        3         2         3
Petras         Valdaitis      8         2         5         2         8         5
Virgis         Valdaitis      6         7         6         1         7         3
Jonas          Petraitis      4         7         5         2         7         7
Petras         Kazaitis       8         3         7         3         7         8
Kazys          Antanaitis     1         6         7         5         2         1
Kazys          Mataitis       3         8         3         5         4         2
Valdas         Jonaitis       7         1         5         10        10        9
Tomas          Virgaitis      10        5         6         7         8         3
Virgis         Antanaitis     7         8         10        1         6         7
Petras         Jonaitis       1         10        6         1         2         5
Petras         Valdaitis      5         6         8         8         1         3
Jonas          Romaitis       10        2         10        9         8         1
Lukas          Mataitis       9         2         9         6         4         7
Matas          Kazaitis       2         7         5         2         10        3
Kazys          Mataitis       4         6         8         2         6         1
Antanas        Mantaitis      7         9         3         2         4         8
Virgis         Tomaitis       9         6         3         4         10        3
Mantas         Tomaitis       5         6         4         3         6         10
Antanas        Kazaitis       3         9         9         2         9         3
Lukas          Kazaitis       1         1         7         2         1         5
Valdas         Romaitis       4         4         8         2         8         2
Romas          Mantaitis      3         10        9         10        6         7
Petras         Romaitis       7         4         8         2         4         2
Mantas         Mataitis       6         4         5         4         4         9
Kazys          Tomaitis       10        8         5         5         8         10
Valdas         Mataitis       9         4         4         5         10        4
Kazys          Valdaitis      2         4         10        9         9         7
Petras         Tomaitis       2         7         7         9         3         7
Petras         Romaitis       10        10        4         6         4         9
Antanas        Jonaitis       5         1         8         2         8         7
Petras         Valdaitis      6         5         6         8         6         3
Valdas         Lukaitis       5         10        3         2         6         6
Tomas          Mataitis       8         5         6         10        10        2
Antanas        Petraitis      9         8         4         8         9         2
Matas          Romaitis       8         6         4         4         6         1
Virgis         Romaitis       10        1         5         2         1         6
Antanas        Petraitis      7         9         6         3         8         10
Lukas          Mataitis       2         7         4         6         5         6
Matas          Kazaitis       5         8         8         2         1         10
Tomas          Mataitis       3         5         5         7         7         5
Antanas        Virgaitis      10        7         10        5         1         4
Kazys          Jonaitis       6         10        6         5         5         8
Valdas         Tomaitis       3         10        2         1         5         6
Lukas          Kazaitis       10        10        6         4         6         5
Valdas         Romaitis       8         8         5         10        8         3
Jonas          Mataitis       5         3         5         8         3         5
Valdas         Jonaitis       9         6         9         8         3         2
Romas          Petraitis      7         6         9         7         4         6
Virgis         Mantaitis      10        5         9         2         6         7
Virgis         Virgaitis      1         1         9         9         4         1
Antanas        Antanaitis     3         5         5         10        3         6
Lukas          Romaitis       4         7         8         4         8         5
Tomas          Jonaitis       3         8         8         9         4         3
Antanas        Lukaitis       9         7         6         5         1         1
Jonas          Kazaitis       10        9         4         8         1         3
Mantas         Virgaitis      8         10        2         6         3         5
Romas          Antanaitis     9         4         1         5         6         3
Petras         Romaitis       10        5         2         4         10        10
Tomas          Antanaitis     7         10        7         4         3         5
Petras         Mantaitis      4         2         6         9         9         7
Tomas          Kazaitis       6         3         6         10        10        1
Kazys          Valdaitis      5         6         4         1         6         10
Kazys          Kazaitis       5         5         2         10        8         3
Romas          Mantaitis      6         7         3         8         9         1
Valdas         Tomaitis       5         7         8         6         3         1
Valdas         Tomaitis       9         1         10        7         6         9
Virgis         Mantaitis      7         4         7         8         8         10
Antanas        Virgaitis      4         1         8         4         10        4
Mantas         Valdaitis      5         6         3         3         4         9
Valdas         Kazaitis       5         5         7         9         5         9
Mantas         Lukaitis       8         10        9         1         9         7
Virgis         Valdaitis      5         1         6         5         2         7
Jonas          Lukaitis       8         5         10        7         7         10
Kazys          Antanaitis     6         4         5         8         8         2
Tomas          Lukaitis       5         2         8         5         7         8
Antanas        Mantaitis      2         6         2         7         1         7
Jonas          Kazaitis       3         2         8         3         7         2
Matas          Mataitis       9         2         2         8         6         9
Mantas         Romaitis       8         6         5         10        7         8
Jonas          Jonaitis       8         8         6         6         10        5
Antanas        Virgaitis      2         8         6         8         9         2
Valdas         Petraitis      5         3         4         2         2         10
Antanas        Petraitis      2         10        8         5         6         10
Jonas          Antanaitis     7         1         6         6         10        8
Romas          Virgaitis      7         5         10        4         10        4
Matas          Jonaitis       5         3         6         1         2         7
Mantas         Tomaitis       7         3         10        4         9         7
Valdas         Romaitis       2         2         5         1         2         7
Tomas          Mantaitis      4         4         3         2         10        9
Kazys          Kazaitis       1         7         1         5         9         9
Jonas          Romaitis       9         4         4         8         2         6
Valdas         Petraitis      10        5         8         3         10        9
Mantas         Romaitis       10        10        3         9         2         10
Petras         Antanaitis     6         9         8         9         3         4
Romas          Valdaitis      9         4         3         9         8         2
Matas          Valdaitis      2         1         2         8         6         2
Virgis         Mataitis       7         8         5         1         10        7
Antanas        Jonaitis       8         9         5         10        9         8
Lukas          Valdaitis      4         10        2         1         1         10
Mantas         Romaitis       4         5         5         10        1         6
Antanas        Romaitis       5         3         10        9         6         9
Lukas          Romaitis       9         4         5         5         7         2
Kazys          Jonaitis       8         8         9         10        9         8
Lukas          Mantaitis      4         10        9         10        1         4
Valdas         Kazaitis       7         8         2         10        5         10
Valdas         Petraitis      3         2         5         7         1         9
Matas          Romaitis       6         5         9         10        8         9
Antanas        Lukaitis       7         4         10        7         1         1
Romas          Tomaitis       10        5         1         3         4         4
Jonas          Jonaitis       6         2         6         1         5         9
Kazys          Kazaitis       5         2         7         8         3         7
Virgis         Mantaitis      2         10        4         6         7         6
Kazys          Tomaitis       1         3         10        8         4         3
Virgis         Romaitis       5         1         1         2         7         5
Jonas          Petraitis      8         9         8         2         6         9
Mantas         Mantaitis      2         6         2         2         10        4
Matas          Jonaitis       10        1         1         5         2         4
Matas          Valdaitis      9         6         8         3         9         1
Lukas          Antanaitis     6         10        4         3         2         7
Tomas          Lukaitis       1         3         3         4         1         3
Virgis         Virgaitis      6         2         10        4         9         4
Matas          Antanaitis     6         4         4         8         2         7
Tomas          Lukaitis       7         6         8         2         3         4
Virgis         Virgaitis      7         7         10        7         8         4
Romas          Jonaitis       6         1         9         2         2         5
Valdas         Petraitis      10        4         9         3         7         2
Virgis         Mantaitis      8         2         5         6         6         4
Mantas         Valdaitis      3         5         7         8         8         8
Lukas          Romaitis       1         8         6         9         3         1
Mantas         Kazaitis       9         4         10        4         4         9
Jonas          Lukaitis       9         6         10        4         5         5
Antanas        Lukaitis       3         10        7         1         2         1
Virgis         Mataitis       6         6         2         6         4         9
Matas          Tomaitis       7         7         8         1         10        8
Lukas          Mantaitis      6         6         6         3         4         1
Antanas        Mantaitis      3         1         8         9         6         5
Matas          Romaitis       5         8         4         7         1         1
Jonas          Kazaitis       9         1         10        3         8         1
Kazys          Lukaitis       1         6         6         4         6         10
Matas          Virgaitis      8         4         4         2         3         3
Jonas          Kazaitis       6         5         7         2         9         2
Virgis         Romaitis       6         2         6         10        4         10
Virgis         Mantaitis      6         10        2         8         6         6
Mantas         Valdaitis      2         9         5         8         1         4
Kazys          Virgaitis      9         6         5         1         6         10
Matas          Petraitis      3         9         1         8         6         2
Antanas        Tomaitis       10        5         3         1         7         1
Antanas        Lukaitis       10        9         10        8         9         7
Antanas        Jonaitis       8         10        8         9         7         5
Valdas         Romaitis       8         3         3         9         8         1
Petras         Kazaitis       2         1         2         3         2         3
Virgis         Valdaitis      4         1         8         6         4         1
Kazys          Tomaitis       9         1         3         10        5         3
Matas          Jonaitis       1         7         4         9         3         9
Kazys          Valdaitis      1         5         7         7         3         9
Mantas         Mantaitis      6         3         6         2         3         10
Jonas          Kazaitis       1         6         6         7         2         5
Jonas          Virgaitis      7         1         7         4         2         3
Mantas         Kazaitis       5         3         2         9         6         1
Lukas          Lukaitis       2         9         4         9         7         5
Jonas          Mantaitis      10        5         6         4         10        4
Petras         Mantaitis      4         2         7         8         10        8
Kazys          Kazaitis       2         7         1         9         7         1
Tomas          Valdaitis      5         6         7         4         1         3
Matas          Antanaitis     4         6         9         7         6         4
Jonas          Kazaitis       1         6         5         3         5         5
Matas          Jonaitis       5         4         1         7         7         2
Matas          Petraitis      3         4         5         5         4         4
Jonas          Jonaitis       10        5         10        5         10        3
Romas          Mataitis       7         2         2         3         10        5
Kazys          Mantaitis      3         6         3         1         8         4
Tomas          Mataitis       8         8         9         5         6         1
Romas          Petraitis      7         2         8         4         3         6
Romas          Valdaitis      4         3         1         5         7         4
Romas          Kazaitis       3         1         8         1         5         5
Kazys          Valdaitis      7         4         7         5         9         7
Jonas          Mataitis       2         5         9         5         4         1
Romas          Lukaitis       6         6         1         6         9         5
Romas          Romaitis       10        10        6         9         10        8
Lukas          Kazaitis       2         10        6         9         2         6
Valdas         Mantaitis      10        6         10        8         6         7
Kazys          Tomaitis       7         3         8         8         1         5
Virgis         Lukaitis       1         6         9         3         5         5
Antanas        Kazaitis       7         6         1         4         2         3
Virgis         Antanaitis     1         4         7         7         7         4
Tomas          Mataitis       3         7         9         1         9         6
Lukas          Jonaitis       8         8         2         8         10        10
Virgis         Romaitis       7         7         2         3         2         7
Virgis         Romaitis       8         1         1         2         10        5
Mantas         Tomaitis       3         1         4         5         6         7
Lukas          Lukaitis       8         7         2         5         3         8
Jonas          Mantaitis      9         8         1         5         9         8
Matas          Jonaitis       9         10        5         1         10        2
Romas          Kazaitis       1         7         6         7         9         5
Antanas        Antanaitis     4         10        3         2         8         8
Kazys          Kazaitis       10        5         1         9         10        5
Lukas          Valdaitis      4         1         10        10        2         5
Tomas          Mataitis       1         8         7         7         3         5
Kazys          Mataitis       7         1         1         2         4         3
Valdas         Valdaitis      7         5         6         3         10        9
Lukas          Lukaitis       9         4         4         9         2         2
Jonas          Lukaitis       7         6         1         3         4         8
Petras         Virgaitis      8         9         1         1         7         1
Kazys          Lukaitis       5         9         3         7         7         1
Petras         Romaitis       1         2         3         2         2         8
Petras         Jonaitis       9         3         7         3         10        6
Mantas         Antanaitis     7         5         6         5         6         1
Lukas          Valdaitis      4         5         8         1         4         10
Valdas         Petraitis      9         7         10        8         1         2
Romas          Kazaitis       4         1         1         6         1         4
Tomas          Mantaitis      10        1         7         1         7         5
Kazys          Antanaitis     2         4         6         5         2         6
Tomas          Valdaitis      3         2         4         2         3         10
Romas          Jonaitis       6         1         4         9         10        1
Tomas          Valdaitis      10        10        5         6         3         5
Mantas         Petraitis      4         4         3         1         6         1
Matas          Romaitis       5         4         1         5         10        10
Matas          Lukaitis       10        1         9         2         10        5
Jonas          Antanaitis     10        10        7         3         5         3
Lukas          Mataitis       8         2         4         3         9         2
Jonas          Valdaitis      10        9         10        2         8         10
Jonas          Kazaitis       7         10        7         10        3         3
Tomas          Jonaitis       9         5         6         9         8         7
Antanas        Valdaitis      9         7         2         1         9         7
Lukas          Mataitis       6         4         2         4         1         9
Virgis         Virgaitis      3         3         3         5         10        9
Lukas          Mantaitis      7         7         8         5         8         1
Petras         Valdaitis      8         2         8         3         5         10
Virgis         Antanaitis     4         5         5         1         9         3
Mantas         Jonaitis       8         2         4         9         1         7
Jonas          Jonaitis       1         8         3         3         4         1
Tomas          Virgaitis      10        4         2         4         6         10
Petras         Mataitis       2         3         7         6         1         7
Virgis         Tomaitis       2         1         8         4         10        4
Matas          Kazaitis       1         5         5         9         9         4
Tomas          Jonaitis       10        6         6         9         4         6
Petras         Valdaitis      5         4         8         4         3         9
Mantas         Lukaitis       7         8         9         8         2         6
Lukas          Mataitis       3         4         3         7         9         5
Valdas         Virgaitis      5         3         7         10        6         7
Antanas        Kazaitis       3         10        2         4         4         7
Petras         Tomaitis       2         10        5         5         7         6
Romas          Petraitis      9         7         5         8         1         5
Tomas          Virgaitis      1         4         4         5         1         1
Romas          Mataitis       3         5         6         5         7         2
Virgis         Valdaitis      1         9         9         8         10        3
Virgis         Mataitis       8         8         5         9         2         10
Matas          Romaitis       9         3         10        2         5         10
Romas          Tomaitis       5         3         2         7         4         10
Matas          Mantaitis      10        9         5         4         9         3
Antanas        Virgaitis      7         1         9         8         1         3
Kazys          Romaitis       9         10        8         7         7         4
Kazys          Mataitis       5         3         8         7         10        6
Virgis         Romaitis       9         2         6         3         10        1
Matas          Jonaitis       9         9         6         5         2         8
Virgis         Lukaitis       6         6         5         9         9         5
Petras         Antanaitis     10        4         8         7         5         4
Mantas         Tomaitis       6         10        3         8         1         9
Antanas        Antanaitis     7         1         8         7         1         9
Petras         Antanaitis     5         7         10        1         1         9
Romas          Kazaitis       6         10        10        9         2         10
Romas          Tomaitis       6         10        6         4         10        6
Mantas         Kazaitis       4         6         2         5         9         4
Petras         Lukaitis       3         2         7         6         6         2
Tomas          Kazaitis       4         9         8         7         7         10
Tomas          Lukaitis       7         7         8         2         6         6
Antanas        Mataitis       6         8         10        10        1         5
Valdas         Valdaitis      8         10        4         3         7         10
Lukas          Kazaitis       2         5         6         5         2         9
Petras         Valdaitis      9         5         4         1         9         10
Petras         Jonaitis       3         5         8         4         5         3
Romas          Antanaitis     10        9         10        8         1         1
Mantas         Petraitis      3         9         10        1         2         4
Matas          Petraitis      2         6         8         6         5         10
Kazys          Valdaitis      2         5         8         10        7         3
Tomas          Romaitis       3         7         7         3         7         6
Romas          Kazaitis       1         5         7         4         7         10
Romas          Kazaitis       2         7         5         1         1         10
Virgis         Valdaitis      7         4         9         8         1         10
Petras         Lukaitis       8         8         7         3         4         4
Kazys          Mataitis       10        5         5         1         9         9
Romas          Tomaitis       5         10        3         3         10        9
Mantas         Jonaitis       1         4         8         3         3         1
Romas          Tomaitis       2         8         2         4         7         2
Antanas        Lukaitis       7         4         7         2         2         3
Romas          Kazaitis       2         6         1         4         1         5
Romas          Antanaitis     2         5         5         7         1         6
Romas          Jonaitis       2         4         6         10        4         9
Matas          Jonaitis       9         4         6         3         6         4
Virgis         Romaitis       6         9         8         1         4         7
Valdas         Lukaitis       1         3         2         5         7         8
Matas          Romaitis       2         10        3         3         8         5
Virgis         Mantaitis      5         10        3         10        5         7
Petras         Petraitis      8         10        5         4         6         6
Valdas         Antanaitis     8         5         5         7         7         4
Virgis         Tomaitis       3         9         10        4         6         10
Tomas          Antanaitis     4         8         4         6         10        7
Romas          Mantaitis      7         8         8         7         3         6
Kazys          Mantaitis      4         2         6         7         2         4
Lukas          Jonaitis       3         9         4         6         9         1
Lukas          Kazaitis       9         3         6         9         1         7
Lukas          Jonaitis       1         6         3         3         9         4
Romas          Petraitis      8         10        3         4         3         10
Petras         Valdaitis      10        5         10        4         9         2
Lukas          Kazaitis       7         3         2         1         7         6
Virgis         Jonaitis       2         2         9         10        7         9
Tomas          Kazaitis       9         4         2         10        2         3
Valdas         Lukaitis       4         7         6         7         3         6
Jonas          Kazaitis       3         1         7         5         2         7
Petras         Kazaitis       1         8         10        5         2         1
Tomas          Tomaitis       3         1         4         3         7         3
Petras         Antanaitis     8         1         5         6         5         1
Tomas          Jonaitis       4         9         7         5         4         8
Romas          Petraitis      2         6         1         4         8         3
Matas          Jonaitis       8         2         9         4         3         2
Antanas        Lukaitis       8         1         8         7         6         9
Mantas         Petraitis      6         6         10        4         4         7
Virgis         Kazaitis       5         8         5         4         7         5
Matas          Romaitis       4         4         9         9         2         6
Mantas         Petraitis      7         2         8         9         3         2
Tomas          Virgaitis      10        10        8         8         1         5
Romas          Antanaitis     1         7         1         9         6         3
Lukas          Antanaitis     1         5         7         10        4         2
Mantas         Virgaitis      10        3         9         9         6         3
Lukas          Lukaitis       8         2         8         5         6         3
Romas          Mantaitis      9         7         4         4         5         4
Valdas         Romaitis       2         7         9         5         9         4
Petras         Tomaitis       6         2         1         10        8         1
Jonas          Kazaitis       10        1         3         1         2         7
Antanas        Jonaitis       7         10        2         10        6         5
Tomas          Lukaitis       8         9         1         8         3         10
Virgis         Antanaitis     6         4         3         6         6         5
Kazys          Lukaitis       4         3         3         3         5         1
Lukas          Lukaitis       1         3         1         3         4         10
Lukas          Antanaitis     8         9         2         7         10        1
Kazys          Mantaitis      7         8         7         5         4         6
Virgis         Kazaitis       1         4         10        1         10        9
Antanas        Lukaitis       3         6         3         8         8         6
Petras         Petraitis      4         1         5         2         4         2
Kazys          Jonaitis       5         8         4         1         10        3
Tomas          Jonaitis       6         3         10        9         10        2
Jonas          Antanaitis     8         5         10        8         7         10
Kazys          Valdaitis      4         2         10        9         1         5
Jonas          Lukaitis       6         4         8         2         2         8
Romas          Petraitis      2         2         6         2         3         3
Lukas          Tomaitis       4         8         10        4         10        9
Virgis         Virgaitis      10        5         8         4         4         7
Petras         Jonaitis       4         3         4         8         6         1
Antanas        Kazaitis       7         1         6         3         8         7
Mantas         Mantaitis      2         8         9         6         3         8
Kazys          Petraitis      4         5         5         6         5         2
Jonas          Virgaitis      9         3         2         6         1         4
Valdas         Lukaitis       7         2         1         7         4         8
Lukas          Lukaitis       8         6         10        4         5         3
Mantas         Petraitis      6         1         1         2         4         8
Virgis         Jonaitis       5         3         9         4         8         10
Petras         Antanaitis     2         8         4         10        7         7
Tomas          Virgaitis      8         6         3         5         6         9
Valdas         Kazaitis       1         5         3         7         8         6
Mantas         Romaitis       4         4         5         8         7         8
Lukas          Romaitis       8         1         10        10        6         7
Mantas         Virgaitis      6         10        5         6         7         6
Tomas          Tomaitis       9         7         8         1         10        1
Valdas         Romaitis       8         8         7         5         5         4
Valdas         Valdaitis      3         8         8         8         9         10
Antanas        Virgaitis      8         1         8         1         4         6
Matas          Romaitis       1         3         1         9         4         6
